ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
UN,ELEC,Dave Syverson Nissan,2310 E Main St,,Albert Lea,MN,56007,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,43.655954,-93.334482,7/9/2018,60981,2019-05-14 21:16:45 UTC,P,,,2/10/16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,
UN,ELEC,Stonehaus at Westlake Village Inn,32039 Agoura Rd,,Westlake Village,CA,91361,Public,24 hours daily; free for hotel and restaurant guests,,,,,,1,,,Unknown,,200-8,34.148044,-118.818336,5/3/2018,61532,2019-05-14 21:16:45 UTC,P,,,4/30/18,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
UN,ELEC,California State University - Fresno,5010 N Woodrow Ave,Located at in Lot PS2 at N Woodrow Avenue and Matoian Way on the west side of the Save-Mart center,Fresno,CA,93710,Public,Lot business hours; pay lot,,,,,,4,2,,Unknown,,200-8,36.80873,-119.740787,2/6/2019,61815,2019-05-14 21:16:45 UTC,P,,,5/1/15,,,,,CHADEMO J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,$1 per hour,,,,,,,,,
UN,ELEC,Foothills Mall,215 E Foothills Pkwy,Located on the west side of second floor of parking garage,Fort Collins,CO,80525,Public,24 hours daily,,,,,,2,1,,Unknown,,GPS,40.54235,-105.071239,11/8/2018,62279,2019-05-14 21:16:45 UTC,P,,,1/1/16,,,,,CHADEMO J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,
UN,ELEC,City of Martinsburg - Main Street,116 E Burke St,,Martinsburg,WV,25401,Public,24 hours daily; metered parking,,,,,,1,,,Unknown,,GPS,39.457409,-77.962882,1/10/2019,62584,2019-05-14 21:16:45 UTC,LG,,,8/24/16,,,,,J1772,US,,,,Public,,public,,,STREET_PARKING,,,,,,,Free,,,,,,,,,SOLAR
UN,ELEC,Comfort Inn - Blythewood,436 McNulty St,Located at I-77 exit 27,Blythewood,SC,29016,Public - Call ahead,24 hours daily; for guest use only,,,,,,2,,,Unknown,,200-9,34.215009,-80.98145,7/9/2019,62826,2019-07-09 17:26:18 UTC,LG,,,11/15/17,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,
UN,ELEC,Extra Space Storage,601 Cedar St,Cedar at Eastshore Highway (I-80),Berkeley,CA,94710,Public,24 hours daily,,,,,,1,,,Unknown,,200-9,37.873525,-122.304802,9/10/2018,62833,2019-05-14 21:16:45 UTC,P,,,10/15/17,,,,,J1772,US,,,,Public,,public,,,STORAGE,,,,,,,Free,,,,,,,,,
O,ELEC,Los Angeles Metro - Sierra Madre Villa Station,149 N Halstead St,Located on the 1st level of the parking structure. Enter from the Sierra Madre Villa Ave entrance,Pasadena,CA,91107,Public,"24 hours daily; pay lot; for Metro rider use only; must have EV Connect account to access, see www.metro.net/projects/ev/ for more information",,,,,,4,,,EV Connect,http://evconnect.com/,200-8,34.14883,-118.079622,5/9/2019,63168,2019-05-14 21:16:45 UTC,P,,,2/1/16,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,$1 per hour; Maximum payment of $3,,,,,,,,,
UN,ELEC,J Sargent Reynolds Community College,1851 Dickinson Rd,,Goochland,VA,23063,Public,24 hours daily,,,,,,2,,,Unknown,,GPS,37.693394,-77.8859049,6/5/2018,63344,2019-05-14 21:16:45 UTC,P,,,6/7/16,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,
UN,ELEC,City of Richmond - Main Street Center,1500 E Main St,,Richmond,VA,23219,Public,24 hours daily,,,,,,2,1,,Unknown,,200-9,37.53505,-77.428959,2/6/2019,63346,2019-05-14 21:16:45 UTC,LG,,,8/25/15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,PARKING_LOT,,,,,,,,,,,,,,,,
